timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,range,change
2026-02-07 11:00:00,0.07362,0.0754,0.0709,0.07253,19034067,1770465599999,1394909.0094,19608,7990162,586575.8763700,0,AIOUSDT,0.00449999999999999,-1.48
2026-02-07 12:00:00,0.07258,0.07515,0.07134,0.07427,17591849,1770469199999,1291024.99588,16891,8577504,629494.0247500,0,AIOUSDT,0.003809999999999994,2.33
2026-02-07 13:00:00,0.07425,0.07529,0.073,0.07371,8565265,1770472799999,636147.99577,9700,4129521,306816.1934900,0,AIOUSDT,0.0022900000000000004,-0.73
2026-02-07 14:00:00,0.07366,0.07379,0.07185,0.07242,8720558,1770476399999,633622.25315,9109,4424519,321424.1507800,0,AIOUSDT,0.0019399999999999973,-1.68
2026-02-07 15:00:00,0.0724,0.07624,0.0724,0.07372,9598057,1770479999999,714804.60744,10684,4143903,308186.2670500,0,AIOUSDT,0.003839999999999996,1.82
2026-02-07 16:00:00,0.07367,0.0744,0.07254,0.07401,6036700,1770483599999,444124.77708,7202,3065790,225676.6937500,0,AIOUSDT,0.0018600000000000005,0.46
2026-02-07 17:00:00,0.07393,0.07455,0.07278,0.07402,4628277,1770487199999,341572.36771,5062,2158385,159318.7043200,0,AIOUSDT,0.0017700000000000077,0.12
2026-02-07 18:00:00,0.07402,0.07478,0.07283,0.07309,4668859,1770490799999,344959.03413,7280,2132774,157634.5861700,0,AIOUSDT,0.0019499999999999934,-1.26
2026-02-07 19:00:00,0.07304,0.07332,0.06031,0.06703,37582097,1770494399999,2520199.11339,43902,16031818,1075098.1425800,0,AIOUSDT,0.013009999999999994,-8.23
2026-02-07 20:00:00,0.067,0.0714,0.06671,0.06708,15295746,1770497999999,1046644.21207,24699,6593644,451610.0744800,0,AIOUSDT,0.00469,0.12
2026-02-07 21:00:00,0.06708,0.07161,0.06512,0.07139,12853231,1770501599999,875355.54956,19683,6064886,413970.6693400,0,AIOUSDT,0.006489999999999996,6.43
2026-02-07 22:00:00,0.07138,0.07364,0.06901,0.06945,10228231,1770505199999,725794.26803,17248,4988564,354579.7543000,0,AIOUSDT,0.004629999999999995,-2.7
2026-02-07 23:00:00,0.06943,0.07032,0.06744,0.06814,6603514,1770508799999,454250.98984,16020,3296474,226921.8125900,0,AIOUSDT,0.0028799999999999937,-1.86
2026-02-08 00:00:00,0.06814,0.07473,0.06772,0.0705,11485409,1770512399999,815951.12326,28492,5972252,424065.4139000,0,AIOUSDT,0.007010000000000002,3.46
2026-02-08 01:00:00,0.07058,0.07609,0.0682,0.06869,17848895,1770515999999,1304435.93763,43695,7929520,580157.3230100,0,AIOUSDT,0.007890000000000008,-2.68
2026-02-08 02:00:00,0.0687,0.07027,0.06568,0.06836,18392796,1770519599999,1254700.49258,37756,8571740,585546.2714600,0,AIOUSDT,0.004589999999999997,-0.49
2026-02-08 03:00:00,0.06833,0.06908,0.06651,0.06738,7244499,1770523199999,491194.2865,17369,3087753,209443.9771100,0,AIOUSDT,0.002570000000000003,-1.39
2026-02-08 04:00:00,0.06745,0.06916,0.06669,0.06879,5692322,1770526799999,385745.55785,14428,3058326,207397.6622900,0,AIOUSDT,0.00247,1.99
2026-02-08 05:00:00,0.06879,0.06975,0.06799,0.06922,4374443,1770530399999,300972.14762,10276,1878674,129312.7130600,0,AIOUSDT,0.0017600000000000116,0.63
2026-02-08 06:00:00,0.06924,0.07657,0.06899,0.07628,15086926,1770533999999,1103654.63455,36968,7297086,533855.0871100,0,AIOUSDT,0.007580000000000003,10.17
2026-02-08 07:00:00,0.07623,0.08321,0.06828,0.07346,32799266,1770537599999,2450542.81383,76106,15149609,1128918.4695000,0,AIOUSDT,0.014930000000000013,-3.63
2026-02-08 08:00:00,0.0735,0.08212,0.07089,0.07622,30484890,1770541199999,2354255.78419,77830,14226239,1097845.2803000,0,AIOUSDT,0.011230000000000004,3.7
