timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,range,change
2026-02-07 11:00:00,6.467,6.625,6.446,6.594,144285,1770465599999,940267.694,16317,71821,468291.4920000,0,MYXUSDT,0.17900000000000027,1.96
2026-02-07 12:00:00,6.596,6.599,6.421,6.471,181499,1770469199999,1175164.338,20825,74046,479578.8740000,0,MYXUSDT,0.17799999999999994,-1.9
2026-02-07 13:00:00,6.472,6.499,6.373,6.38,100949,1770472799999,649303.141,12466,50429,324498.7020000,0,MYXUSDT,0.12599999999999945,-1.42
2026-02-07 14:00:00,6.383,6.545,6.353,6.453,125247,1770476399999,807099.223,15092,67106,432405.6010000,0,MYXUSDT,0.19200000000000017,1.1
2026-02-07 15:00:00,6.453,6.476,6.397,6.435,73644,1770479999999,474404.083,10841,31744,204567.5420000,0,MYXUSDT,0.07899999999999974,-0.28
2026-02-07 16:00:00,6.435,6.549,6.392,6.448,208890,1770483599999,1349806.763,22008,94805,612862.8410000,0,MYXUSDT,0.15700000000000003,0.2
2026-02-07 17:00:00,6.45,6.459,6.366,6.405,62760,1770487199999,402404.801,8820,31768,203709.8310000,0,MYXUSDT,0.09299999999999997,-0.7
2026-02-07 18:00:00,6.406,6.441,6.375,6.424,39514,1770490799999,252975.161,6479,19344,123864.3060000,0,MYXUSDT,0.06599999999999984,0.28
2026-02-07 19:00:00,6.422,6.566,6.393,6.544,97607,1770494399999,634119.38,10294,64724,420578.4940000,0,MYXUSDT,0.17300000000000004,1.9
2026-02-07 20:00:00,6.545,6.553,6.435,6.482,61709,1770497999999,400502.997,7917,25514,165581.1620000,0,MYXUSDT,0.11800000000000033,-0.96
2026-02-07 21:00:00,6.481,6.504,6.406,6.43,27792,1770501599999,179485.777,3762,12720,82136.1530000,0,MYXUSDT,0.09799999999999986,-0.79
2026-02-07 22:00:00,6.43,6.45,6.406,6.423,20065,1770505199999,128973.282,5285,10495,67473.0200000,0,MYXUSDT,0.04400000000000048,-0.11
2026-02-07 23:00:00,6.423,6.46,6.375,6.407,29719,1770508799999,190431.355,6566,15327,98231.3910000,0,MYXUSDT,0.08499999999999996,-0.25
2026-02-08 00:00:00,6.407,6.438,6.321,6.39,65754,1770512399999,420239.294,9574,27995,178920.0890000,0,MYXUSDT,0.11699999999999999,-0.27
2026-02-08 01:00:00,6.388,6.415,6.273,6.348,42663,1770515999999,271039.795,7759,16376,104166.6280000,0,MYXUSDT,0.14200000000000035,-0.63
2026-02-08 02:00:00,6.35,6.385,6.329,6.349,24775,1770519599999,157474.714,7321,13594,86432.7840000,0,MYXUSDT,0.05600000000000005,-0.02
2026-02-08 03:00:00,6.351,6.375,6.284,6.325,33410,1770523199999,211487.284,7879,16191,102526.8380000,0,MYXUSDT,0.09100000000000019,-0.41
2026-02-08 04:00:00,6.327,6.332,6.155,6.294,93438,1770526799999,582816.564,13994,40035,249879.7000000,0,MYXUSDT,0.1769999999999996,-0.52
2026-02-08 05:00:00,6.293,6.293,6.108,6.152,95382,1770530399999,589410.456,13538,50184,310261.2470000,0,MYXUSDT,0.1850000000000005,-2.24
2026-02-08 06:00:00,6.156,6.272,6.135,6.265,134164,1770533999999,830959.362,18565,57231,354922.5480000,0,MYXUSDT,0.13700000000000045,1.77
2026-02-08 07:00:00,6.266,6.477,6.266,6.434,190489,1770537599999,1214155.158,22296,96096,612475.5830000,0,MYXUSDT,0.2110000000000003,2.68
2026-02-08 08:00:00,6.432,6.475,6.361,6.389,103545,1770541199999,664322.556,13313,43644,280124.4520000,0,MYXUSDT,0.11399999999999988,-0.67
2026-02-08 09:00:00,6.387,6.522,6.322,6.418,133144,1770544799999,853371.778,15437,59690,382292.4750000,0,MYXUSDT,0.20000000000000018,0.49
2026-02-08 10:00:00,6.418,6.483,6.349,6.422,106726,1770548399999,684115.097,14084,53232,341357.6490000,0,MYXUSDT,0.13399999999999945,0.06
2026-02-08 11:00:00,6.422,6.562,6.386,6.466,261620,1770551999999,1692854.138,26228,136611,884096.9940000,0,MYXUSDT,0.17600000000000016,0.69
2026-02-08 12:00:00,6.467,6.47,6.358,6.43,119894,1770555599999,768256.195,13583,53670,343983.3440000,0,MYXUSDT,0.1120000000000001,-0.57
2026-02-08 13:00:00,6.429,6.471,6.357,6.422,64029,1770559199999,410755.999,7469,31124,199714.3850000,0,MYXUSDT,0.11399999999999988,-0.11
