timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,range,change
2026-02-07 11:00:00,0.04534,0.04543,0.04509,0.04525,3222680,1770465599999,145771.13068,3285,942922,42666.8811500,0,SUSDT,0.00034,-0.2
2026-02-07 12:00:00,0.04524,0.04706,0.04518,0.04645,13135937,1770469199999,608391.47113,11782,6905763,319978.9809700,0,SUSDT,0.0018799999999999997,2.67
2026-02-07 13:00:00,0.04645,0.04654,0.04577,0.04598,4604273,1770472799999,211936.21722,4449,2644095,121713.2476900,0,SUSDT,0.0007699999999999999,-1.01
2026-02-07 14:00:00,0.04598,0.04602,0.04527,0.04538,3364304,1770476399999,153493.34546,3575,1189994,54317.4786100,0,SUSDT,0.0007500000000000007,-1.3
2026-02-07 15:00:00,0.04539,0.04627,0.04529,0.04602,5731290,1770479999999,263144.26993,6219,3048199,140027.9597600,0,SUSDT,0.0009800000000000017,1.39
2026-02-07 16:00:00,0.04602,0.04729,0.04576,0.04623,48012071,1770483599999,2237881.65365,30252,24464511,1140974.6245700,0,SUSDT,0.0015299999999999966,0.46
2026-02-07 17:00:00,0.04625,0.04639,0.04598,0.04622,2681883,1770487199999,123934.68756,3525,1266494,58516.5011000,0,SUSDT,0.00041000000000000064,-0.06
2026-02-07 18:00:00,0.04621,0.04678,0.04608,0.04651,4846255,1770490799999,224770.86035,4408,3105528,143958.5780300,0,SUSDT,0.0006999999999999992,0.65
2026-02-07 19:00:00,0.0465,0.0465,0.04574,0.0458,6229001,1770494399999,286921.79152,4271,2190324,100983.0533600,0,SUSDT,0.0007599999999999968,-1.51
2026-02-07 20:00:00,0.04578,0.04609,0.04567,0.04602,3599889,1770497999999,165180.06416,3582,1930141,88640.6345400,0,SUSDT,0.00041999999999999676,0.52
2026-02-07 21:00:00,0.04603,0.0461,0.04561,0.04572,4411455,1770501599999,202196.29178,3372,1659925,76168.3390500,0,SUSDT,0.0004900000000000043,-0.67
2026-02-07 22:00:00,0.04571,0.04591,0.04551,0.0456,1943668,1770505199999,88867.03454,2531,871384,39844.8686000,0,SUSDT,0.0003999999999999976,-0.24
2026-02-07 23:00:00,0.0456,0.04565,0.04532,0.04551,2302828,1770508799999,104751.64041,2492,988399,44962.1408000,0,SUSDT,0.0003300000000000039,-0.2
2026-02-08 00:00:00,0.04552,0.04561,0.04502,0.04513,4206207,1770512399999,190452.23631,3439,2089158,94676.6392100,0,SUSDT,0.0005900000000000002,-0.86
2026-02-08 01:00:00,0.04514,0.04526,0.04466,0.04477,3882082,1770515999999,174351.53013,3377,1450575,65154.3110200,0,SUSDT,0.0006000000000000033,-0.82
2026-02-08 02:00:00,0.04477,0.04488,0.04408,0.04422,8507321,1770519599999,377464.99779,6030,3537794,157079.1599500,0,SUSDT,0.0008000000000000021,-1.23
2026-02-08 03:00:00,0.04423,0.04426,0.04387,0.04407,5479840,1770523199999,241462.15663,3566,3153654,138930.3987700,0,SUSDT,0.00039000000000000146,-0.36
2026-02-08 04:00:00,0.04406,0.04428,0.04389,0.04406,4182673,1770526799999,184485.7456,3284,2433849,107329.9874200,0,SUSDT,0.00039000000000000146,0.0
2026-02-08 05:00:00,0.04407,0.04433,0.04396,0.04413,3150122,1770530399999,139208.54823,2379,892950,39446.7036200,0,SUSDT,0.00037000000000000227,0.14
2026-02-08 06:00:00,0.04411,0.04413,0.04359,0.0437,8465383,1770533999999,370986.03576,4715,3532492,154799.5427000,0,SUSDT,0.0005400000000000058,-0.93
2026-02-08 07:00:00,0.04371,0.04383,0.04345,0.04378,3829474,1770537599999,167242.94183,3387,1824979,79693.8671500,0,SUSDT,0.0003799999999999984,0.16
2026-02-08 08:00:00,0.04378,0.04398,0.04335,0.04369,16965150,1770541199999,740949.09789,10385,8065180,352454.5326500,0,SUSDT,0.0006299999999999986,-0.21
2026-02-08 09:00:00,0.0437,0.04392,0.04292,0.04311,9352289,1770544799999,405969.59394,6814,3978020,172602.7027100,0,SUSDT,0.0010000000000000009,-1.35
2026-02-08 10:00:00,0.04311,0.04339,0.04273,0.04337,9280388,1770548399999,399662.02282,6829,4280554,184434.9115500,0,SUSDT,0.0006600000000000009,0.6
2026-02-08 11:00:00,0.04338,0.04375,0.0432,0.04348,9048609,1770551999999,392992.94645,6821,3995423,173556.6182700,0,SUSDT,0.0005499999999999949,0.23
2026-02-08 12:00:00,0.04348,0.04364,0.04324,0.04343,5684987,1770555599999,247033.16205,4235,2540663,110387.7965000,0,SUSDT,0.0003999999999999976,-0.11
2026-02-08 13:00:00,0.04342,0.044,0.04297,0.04339,16898201,1770559199999,734953.41576,8180,7519670,327682.1142500,0,SUSDT,0.0010299999999999962,-0.07
2026-02-08 14:00:00,0.04339,0.0436,0.04309,0.04359,8865223,1770562799999,384703.06432,4717,4920126,213670.5591900,0,SUSDT,0.0005099999999999966,0.46
2026-02-08 15:00:00,0.04359,0.04375,0.0428,0.0429,10306507,1770566399999,445307.13413,7379,4983385,215478.4251000,0,SUSDT,0.0009499999999999995,-1.58
2026-02-08 16:00:00,0.0429,0.04315,0.04133,0.04155,21512403,1770569999999,908003.02162,12566,9634622,406581.5624400,0,SUSDT,0.0018200000000000022,-3.15
2026-02-08 17:00:00,0.04154,0.04245,0.04152,0.0423,12990740,1770573599999,547013.67608,9640,6004649,252732.2479600,0,SUSDT,0.0009300000000000003,1.83
2026-02-08 18:00:00,0.0423,0.04297,0.04216,0.04264,6302928,1770577199999,268635.57144,5566,2772752,118150.7283800,0,SUSDT,0.0008099999999999982,0.8
2026-02-08 19:00:00,0.04264,0.04279,0.04253,0.04271,4522752,1770580799999,192885.51205,3732,2455631,104727.3085700,0,SUSDT,0.0002600000000000033,0.16
2026-02-08 20:00:00,0.04272,0.04274,0.04244,0.04247,3158840,1770584399999,134562.57922,3506,1417208,60366.2687300,0,SUSDT,0.00030000000000000165,-0.59
2026-02-08 21:00:00,0.04247,0.04257,0.04216,0.04245,3591438,1770587999999,152222.27462,3450,1526919,64711.5591500,0,SUSDT,0.0004099999999999937,-0.05
2026-02-08 22:00:00,0.04245,0.04288,0.0424,0.04264,3772595,1770591599999,160629.3097,3454,2316785,98634.6789100,0,SUSDT,0.00048000000000000126,0.45
2026-02-08 23:00:00,0.04261,0.04341,0.04186,0.04208,17265970,1770595199999,732366.77213,12750,8695233,368989.4587600,0,SUSDT,0.0015499999999999958,-1.24
2026-02-09 00:00:00,0.04207,0.04248,0.04171,0.04248,12495134,1770598799999,525211.7761,6727,5937744,249762.6389900,0,SUSDT,0.0007699999999999999,0.97
2026-02-09 01:00:00,0.04245,0.04258,0.04193,0.04212,7927355,1770602399999,335012.79767,5873,4590058,193864.2609600,0,SUSDT,0.0006499999999999978,-0.78
2026-02-09 02:00:00,0.04212,0.04267,0.04199,0.04265,3744504,1770605999999,158438.2933,3217,2361377,99916.6658800,0,SUSDT,0.00068,1.26
2026-02-09 03:00:00,0.04265,0.04328,0.04259,0.04327,5149108,1770609599999,220741.71471,4249,2374363,101839.2152600,0,SUSDT,0.0006899999999999962,1.45
2026-02-09 04:00:00,0.04326,0.04326,0.04248,0.04252,6600651,1770613199999,282947.10346,4828,3659181,156868.6847100,0,SUSDT,0.0007800000000000029,-1.71
2026-02-09 05:00:00,0.04252,0.04264,0.04239,0.04263,2653552,1770616799999,112834.77347,2617,1522527,64748.9899000,0,SUSDT,0.0002500000000000002,0.26
2026-02-09 06:00:00,0.04262,0.04262,0.04203,0.04237,6371718,1770620399999,269502.57793,4395,2450681,103639.6554200,0,SUSDT,0.0005900000000000002,-0.59
2026-02-09 07:00:00,0.04236,0.04238,0.04204,0.04206,3997339,1770623999999,168668.97665,2875,2200271,92862.0122200,0,SUSDT,0.00034,-0.71
2026-02-09 08:00:00,0.04206,0.04216,0.04134,0.04173,9617754,1770627599999,401839.42326,6463,4508328,188476.0532100,0,SUSDT,0.0008200000000000013,-0.78
2026-02-09 09:00:00,0.04172,0.04175,0.04138,0.04149,6491683,1770631199999,269921.83388,4828,3590093,149320.4203200,0,SUSDT,0.00037000000000000227,-0.55
2026-02-09 10:00:00,0.04149,0.04156,0.04067,0.04083,10730336,1770634799999,440544.65512,6938,4711361,193518.9224500,0,SUSDT,0.0008900000000000019,-1.59
2026-02-09 11:00:00,0.04084,0.04113,0.04063,0.04091,7866790,1770638399999,321577.44548,5793,4323930,176768.2546700,0,SUSDT,0.0005000000000000004,0.17
2026-02-09 12:00:00,0.04092,0.0412,0.0409,0.041,5022241,1770641999999,206131.70526,3517,2484264,102007.0556800,0,SUSDT,0.00030000000000000165,0.2
2026-02-09 13:00:00,0.04099,0.04115,0.04065,0.04065,4297445,1770645599999,175854.17435,3446,1971690,80740.5386100,0,SUSDT,0.0005000000000000004,-0.83
2026-02-09 14:00:00,0.04065,0.0415,0.04063,0.04144,8501130,1770649199999,349201.55568,7779,4280144,175750.7092300,0,SUSDT,0.0008700000000000027,1.94
2026-02-09 15:00:00,0.04144,0.04183,0.04099,0.04176,7756505,1770652799999,321641.81715,6741,3985643,165406.2224600,0,SUSDT,0.0008400000000000005,0.77
2026-02-09 16:00:00,0.04175,0.04233,0.04129,0.04206,9302545,1770656399999,388636.36669,6443,4816287,201649.6617100,0,SUSDT,0.0010399999999999993,0.74
2026-02-09 17:00:00,0.04206,0.04274,0.04181,0.04244,8716980,1770659999999,369006.61974,6384,4529096,191878.5380400,0,SUSDT,0.0009300000000000003,0.9
2026-02-09 18:00:00,0.04245,0.0425,0.04144,0.04158,6410198,1770663599999,268401.00423,5687,2921352,122446.5968900,0,SUSDT,0.0010600000000000054,-2.05
2026-02-09 19:00:00,0.04158,0.04162,0.04114,0.04132,7553660,1770667199999,312604.07601,4821,3589906,148628.9855900,0,SUSDT,0.0004799999999999943,-0.63
2026-02-09 20:00:00,0.04131,0.04146,0.04099,0.04139,5599369,1770670799999,230776.26711,6153,3145065,129635.3945500,0,SUSDT,0.0004699999999999982,0.19
2026-02-09 21:00:00,0.0414,0.04145,0.04086,0.04127,7957430,1770674399999,327621.31507,8040,3107586,128049.0875100,0,SUSDT,0.0005900000000000002,-0.31
2026-02-09 22:00:00,0.04127,0.04161,0.04125,0.04137,3314928,1770677999999,137362.35539,3781,2187340,90643.4804200,0,SUSDT,0.0003599999999999992,0.24
2026-02-09 23:00:00,0.04136,0.04146,0.04105,0.04112,2753827,1770681599999,113597.32434,2589,1300575,53639.4074100,0,SUSDT,0.0004099999999999937,-0.58
2026-02-10 00:00:00,0.04113,0.04126,0.04094,0.04109,5230971,1770685199999,214898.32415,3769,2085336,85683.3030000,0,SUSDT,0.00032000000000000084,-0.1
2026-02-10 01:00:00,0.0411,0.04174,0.04106,0.04157,6290185,1770688799999,260584.02955,4020,3632407,150537.7762700,0,SUSDT,0.00068,1.14
2026-02-10 02:00:00,0.04158,0.0417,0.0415,0.04163,2887833,1770692399999,120092.48613,2520,1449140,60273.6241100,0,SUSDT,0.0001999999999999988,0.12
2026-02-10 03:00:00,0.04163,0.04167,0.04068,0.04107,8600371,1770695999999,353432.56152,5393,3814253,156807.0131300,0,SUSDT,0.0009899999999999978,-1.35
2026-02-10 04:00:00,0.04105,0.04146,0.04103,0.04146,3116944,1770699599999,128535.26475,2592,1689099,69692.4242800,0,SUSDT,0.0004299999999999998,1.0
2026-02-10 05:00:00,0.04146,0.04148,0.04101,0.04101,4214355,1770703199999,173812.8136,3257,2047140,84432.3571900,0,SUSDT,0.00047000000000000514,-1.09
2026-02-10 06:00:00,0.04101,0.04117,0.04031,0.04049,8754221,1770706799999,356779.2841,5485,3135418,127853.5894100,0,SUSDT,0.0008599999999999997,-1.27
2026-02-10 07:00:00,0.04048,0.04081,0.04036,0.04043,3975217,1770710399999,161344.08943,3437,1719777,69788.6515000,0,SUSDT,0.000449999999999999,-0.12
2026-02-10 08:00:00,0.04043,0.04077,0.04037,0.04056,6168512,1770713999999,250582.07785,3985,1973115,80111.0774000,0,SUSDT,0.0003999999999999976,0.32
2026-02-10 09:00:00,0.04056,0.04092,0.04053,0.04082,6785175,1770717599999,276414.07871,3997,3083699,125733.4317400,0,SUSDT,0.00039000000000000146,0.64
2026-02-10 10:00:00,0.04083,0.04093,0.04067,0.04081,2150926,1770721199999,87742.4976,2725,987197,40277.1748800,0,SUSDT,0.0002600000000000033,-0.05
2026-02-10 11:00:00,0.04081,0.04098,0.04045,0.04048,5642009,1770724799999,229790.67415,3208,2663308,108476.5930400,0,SUSDT,0.0005300000000000027,-0.81
2026-02-10 12:00:00,0.04049,0.04066,0.04029,0.04034,3387817,1770728399999,137074.51483,2851,1887409,76370.1557600,0,SUSDT,0.00037000000000000227,-0.37
2026-02-10 13:00:00,0.04034,0.04083,0.04028,0.04079,4342873,1770731999999,176147.7203,3673,2257388,91588.1929300,0,SUSDT,0.0005499999999999949,1.12
2026-02-10 14:00:00,0.04078,0.041,0.04037,0.0406,7184030,1770735599999,292287.68574,5956,3926858,159868.2748600,0,SUSDT,0.0006299999999999986,-0.44
2026-02-10 15:00:00,0.0406,0.04112,0.04046,0.04098,7130037,1770739199999,291693.01418,5820,3355329,137228.2946100,0,SUSDT,0.0006599999999999939,0.94
2026-02-10 16:00:00,0.04099,0.04115,0.04054,0.04072,8360184,1770742799999,341654.88835,5565,4732681,193569.8872100,0,SUSDT,0.0006099999999999994,-0.66
2026-02-10 17:00:00,0.04071,0.04086,0.04044,0.04056,5057579,1770746399999,205431.00349,3902,2376776,96546.9569800,0,SUSDT,0.0004200000000000037,-0.37
2026-02-10 18:00:00,0.04057,0.04064,0.03949,0.03969,13464753,1770749999999,537644.86046,7543,4916357,196443.7760200,0,SUSDT,0.0011500000000000052,-2.17
2026-02-10 19:00:00,0.03968,0.03979,0.03943,0.0396,8962370,1770753599999,355178.68918,5580,3579946,141839.6787600,0,SUSDT,0.0003599999999999992,-0.2
