SYMBOL,TIMESTAMP,TYPE,PRICE,RSI,SMA200,ATR,REASON,PROFIT
CL=F,2023-09-21 00:00,WAIT,89.6300,0.0,0,0,NO_SIGNAL: BB=94.56/78.22,
CL=F,2023-09-22 00:00,WAIT,90.0300,0.0,0,0,NO_SIGNAL: BB=94.48/79.39,
CL=F,2023-09-25 00:00,WAIT,89.6800,0.0,0,0,NO_SIGNAL: BB=94.28/80.58,
CL=F,2023-09-26 00:00,WAIT,90.3900,0.0,0,0,NO_SIGNAL: BB=93.97/81.92,
CL=F,2023-09-27 00:00,WAIT,93.6800,0.0,0,0,NO_SIGNAL: BB=94.22/82.92,
CL=F,2023-09-28 00:00,WAIT,91.7100,0.0,0,0,NO_SIGNAL: BB=93.85/84.30,
CL=F,2023-09-29 00:00,WAIT,90.7900,0.0,0,0,NO_SIGNAL: BB=93.51/85.35,
CL=F,2023-10-02 00:00,WAIT,88.8200,0.0,0,0,NO_SIGNAL: BB=93.26/85.93,
CL=F,2023-10-03 00:00,WAIT,89.2300,0.0,0,0,NO_SIGNAL: BB=93.13/86.31,
CL=F,2023-10-04 00:00,SELL,84.2200,0.0,0,2.7843,RSI0+CONFIRM,
CL=F,2023-10-05 00:00,WAIT,82.3100,0.0,0,0,NO_SIGNAL: BB=94.44/84.21,
CL=F,2023-10-06 00:00,WAIT,82.7900,0.0,0,0,NO_SIGNAL: BB=94.94/83.24,
CL=F,2023-10-09 00:00,WAIT,86.3800,0.0,0,0,NO_SIGNAL: BB=94.97/83.12,
CL=F,2023-10-10 00:00,WAIT,85.9700,0.0,0,0,NO_SIGNAL: BB=94.98/82.82,
CL=F,2023-10-11 00:00,WAIT,83.4900,0.0,0,0,NO_SIGNAL: BB=95.20/82.10,
CL=F,2023-10-12 00:00,WAIT,82.9100,0.0,0,0,NO_SIGNAL: BB=95.27/81.30,
CL=F,2023-10-13 00:00,WAIT,87.6900,0.0,0,0,NO_SIGNAL: BB=95.02/81.25,
CL=F,2023-10-16 00:00,WAIT,86.6600,0.0,0,0,NO_SIGNAL: BB=94.62/81.16,
CL=F,2023-10-17 00:00,WAIT,86.6600,0.0,0,0,NO_SIGNAL: BB=94.23/81.10,
CL=F,2023-10-18 00:00,WAIT,88.3200,0.0,0,0,NO_SIGNAL: BB=94.03/81.11,
CL=F,2023-10-19 00:00,WAIT,89.3700,0.0,0,0,NO_SIGNAL: BB=94.00/81.11,
CL=F,2023-10-20 00:00,WAIT,88.7500,0.0,0,0,NO_SIGNAL: BB=93.86/81.13,
CL=F,2023-10-23 00:00,WAIT,85.4900,0.0,0,0,NO_SIGNAL: BB=93.62/80.95,
CL=F,2023-10-24 00:00,WAIT,83.7400,0.0,0,0,NO_SIGNAL: BB=93.30/80.60,
CL=F,2023-10-25 00:00,WAIT,85.3900,0.0,0,0,NO_SIGNAL: BB=92.06/81.01,
CL=F,2023-10-26 00:00,WAIT,83.2100,0.0,0,0,NO_SIGNAL: BB=91.25/80.96,
CL=F,2023-10-27 00:00,WAIT,85.5400,0.0,0,0,NO_SIGNAL: BB=90.50/81.20,
CL=F,2023-10-30 00:00,WAIT,82.3100,0.0,0,0,NO_SIGNAL: BB=90.21/80.84,
CL=F,2023-10-31 00:00,WAIT,81.0200,0.0,0,0,NO_SIGNAL: BB=89.87/80.35,
CL=F,2023-11-01 00:00,WAIT,80.4400,0.0,0,0,NO_SIGNAL: BB=90.11/79.74,
CL=F,2023-11-02 00:00,WAIT,82.4600,0.0,0,0,NO_SIGNAL: BB=90.10/79.76,
CL=F,2023-11-03 00:00,WAIT,80.5100,0.0,0,0,NO_SIGNAL: BB=90.28/79.35,
CL=F,2023-11-06 00:00,WAIT,80.8200,0.0,0,0,NO_SIGNAL: BB=90.23/78.85,
CL=F,2023-11-07 00:00,SELL,77.3700,0.0,0,3.1336,RSI0+CONFIRM,
CL=F,2023-11-08 00:00,WAIT,75.3300,0.0,0,0,NO_SIGNAL: BB=91.28/76.12,
CL=F,2023-11-09 00:00,WAIT,75.7400,0.0,0,0,NO_SIGNAL: BB=91.71/74.97,
CL=F,2023-11-10 00:00,WAIT,77.1700,0.0,0,0,NO_SIGNAL: BB=91.35/74.28,
CL=F,2023-11-13 00:00,WAIT,78.2600,0.0,0,0,NO_SIGNAL: BB=90.96/73.83,
CL=F,2023-11-14 00:00,WAIT,78.2600,0.0,0,0,NO_SIGNAL: BB=90.49/73.46,
CL=F,2023-11-15 00:00,WAIT,76.6600,0.0,0,0,NO_SIGNAL: BB=89.67/73.11,
CL=F,2023-11-16 00:00,WAIT,72.9000,0.0,0,0,NO_SIGNAL: BB=88.78/72.36,
CL=F,2023-11-17 00:00,WAIT,75.8900,0.0,0,0,NO_SIGNAL: BB=87.42/72.43,
CL=F,2023-11-20 00:00,WAIT,77.6000,0.0,0,0,NO_SIGNAL: BB=86.61/72.45,
CL=F,2023-11-21 00:00,WAIT,77.7700,0.0,0,0,NO_SIGNAL: BB=86.07/72.40,
CL=F,2023-11-22 00:00,WAIT,77.1000,0.0,0,0,NO_SIGNAL: BB=85.06/72.57,
CL=F,2023-11-24 00:00,WAIT,75.5400,0.0,0,0,NO_SIGNAL: BB=84.48/72.39,
CL=F,2023-11-27 00:00,WAIT,74.8600,0.0,0,0,NO_SIGNAL: BB=83.14/72.66,
CL=F,2023-11-28 00:00,WAIT,76.4100,0.0,0,0,NO_SIGNAL: BB=82.45/72.77,
CL=F,2023-11-29 00:00,WAIT,77.8600,0.0,0,0,NO_SIGNAL: BB=82.02/72.88,
CL=F,2023-11-30 00:00,WAIT,75.9600,0.0,0,0,NO_SIGNAL: BB=81.61/72.84,
CL=F,2023-12-01 00:00,WAIT,74.0700,0.0,0,0,NO_SIGNAL: BB=80.66/72.95,
